length general mean,length general var,length IG mean,length IG var,length IF mean,length IF var,lexical general mean,lexical general var,lexical IG mean,lexical IG var,lexical IF mean,lexical IF var,form general mean,form general var,form IG mean,form IG var,form IF mean,form IF var,success,confidence,language,move ID
0.024,0.0,0.03,0.0,0.024,0.0,0.583,0.007,0.667,0.0,0.0,0.0,0.925,0.0,0.917,0.0,1.0,0.0,1,4,german,"FTT_2006-06-22pair2_refexps.p(2583, 2844)"
0.314,0.0,0.314,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.5,0.0,0.5,0.0,nan,nan,0,3,german,"FTT_2006-03-27Pair1_refexps.p(3568, 3607)"
-0.15,0.003,-0.15,0.003,-0.1,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,1,4,german,"FTT_2006-03-28pair2_refexps.p(177, 225)"
0.857,0.0,0.857,0.0,0.857,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0,2,german,"FTT_2006-03-28pair2_refexps.p(2932, 3021)"
0.79,0.0,0.79,0.0,0.79,0.0,nan,nan,nan,nan,nan,nan,0.5,0.0,nan,nan,0.5,0.0,0,2,german,"FTT_2006-03-28pair2_refexps.p(1696, 1944)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,4,german,"FTT_2006-03-27Pair1_refexps.p(696, 703)"
-0.205,0.087,-0.197,0.092,-0.197,0.092,0.833,0.0,1.0,0.0,0.8,0.0,0.929,0.005,1.0,0.0,0.417,0.174,-1,1,german,"FTT_2006-06-22pair2_refexps.p(3295, 3456)"
0.313,0.023,0.442,0.044,0.406,0.054,0.468,0.085,0.597,0.153,0.25,0.125,0.644,0.153,0.589,0.149,0.667,0.222,-1,4,german,"FTT_2006-03-27Pair1_refexps.p(2553, 2749)"
0.12,0.035,0.187,0.02,0.06,0.017,0.537,0.006,0.4,0.0,0.933,0.018,0.788,0.105,0.75,0.112,1.0,0.0,0,2,german,"FTT_2006-03-27Pair1_refexps.p(1117, 1518)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,german,"FTT_2006-03-28pair2_refexps.p(2543, 2566)"
0.242,0.012,0.265,0.0,0.239,0.017,0.469,0.058,0.308,0.0,1.0,0.0,0.639,0.078,0.786,0.0,0.7,0.16,1,1,german,"FTT_2006-06-22pair2_refexps.p(2845, 3294)"
-0.137,0.132,-0.137,0.132,nan,nan,nan,nan,nan,nan,nan,nan,0.333,0.111,0.333,0.111,nan,nan,1,4,german,"FTT_2006-03-28pair2_refexps.p(893, 939)"
0.333,0.0,0.333,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,0.0,nan,nan,0,3,german,"FTT_2006-03-28pair2_refexps.p(1945, 1966)"
0.03,0.062,0.071,0.058,0.016,0.058,0.13,0.006,0.0,0.0,0.338,0.151,0.943,0.013,0.833,0.028,0.95,0.01,1,4,german,"FTT_2006-06-22pair1_refexps.p(4879, 5032)"
0.0,0.0,nan,nan,0.0,0.0,1.0,0.0,nan,nan,1.0,0.0,1.0,0.0,nan,nan,1.0,0.0,1,4,german,"FTT_2006-06-22pair2_refexps.p(4882, 4906)"
0.01,0.053,0.065,0.065,0.201,0.0,0.236,0.013,0.278,0.015,0.0,0.0,0.675,0.023,0.722,0.015,0.0,0.0,1,4,german,"FTT_2006-06-22pair2_refexps.p(3764, 3963)"
-0.476,0.113,0.0,0.0,-0.476,0.113,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,3,german,"FTT_2006-03-28pair2_refexps.p(2681, 2723)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3,german,"FTT_2006-03-27Pair1_refexps.p(1761, 1787)"
0.75,0.0,0.75,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,1,4,german,"FTT_2006-03-28pair2_refexps.p(1664, 1695)"
0.651,0.016,0.471,0.065,0.291,0.0,0.75,0.0,nan,nan,0.75,0.0,0.794,0.008,0.667,0.0,1.0,0.0,0,2,german,"FTT_2006-03-28pair2_refexps.p(1967, 2127)"
0.0,0.028,-0.083,0.063,-0.333,0.0,0.625,0.141,0.5,0.25,0.5,0.0,0.75,0.063,0.75,0.063,1.0,0.0,0,3,german,"FTT_2006-03-27Pair1_refexps.p(2022, 2081)"
0.714,0.0,nan,nan,0.714,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,1,4,german,"FTT_2006-03-27Pair1_refexps.p(3496, 3533)"
0.477,0.001,0.369,0.002,0.34,0.0,0.429,0.0,nan,nan,0.429,0.0,0.833,0.014,1.0,0.0,0.667,0.0,1,4,german,"FTT_2006-03-28pair2_refexps.p(3101, 3233)"
